region,incgroup,offshore,country,cntrycode,bankname 2013,bankname 2009,spec,index_consol,cons_code,index_unconsol,unconsol_code,ISIN,Ticker,Swift,yoe,yoi,note_2009,note_2013,added2014,active2013,own1995,own1996,own1997,own1998,own1999,own2000,own2001,own2002,own2003,own2004,own2005,own2006,own2007,own2008,own2009,own2010,own2011,own2012,own2013,ownsou1995,ownsou1996,ownsou1997,ownsou1998,ownsou1999,ownsou2000,ownsou2001,ownsou2002,ownsou2003,ownsou2004,ownsou2005,ownsou2006,ownsou2007,ownsou2008,ownsou2009,ownsou2010,ownsou2011,ownsou2012,ownsou2013
ECA,DEV,0,ALBANIA,ALB,Alpha Bank SH.A,Alpha Bank SH.A,Commercial Banks,14561,U1,14561,U1,Unlisted,Unlisted,CRBA AL TR,1998,,,,1,Active,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE
ECA,DEV,0,ALBANIA,ALB,Banka Kombetare Tregtare Sh.a.-National Commercial Bank,Banka Kombetare Tregtare Sh.s.-National Commercial Bank,Commercial Banks,17265,U1,17265,U1,,Unlisted,NCBA AL TX,1993,,"Established January 1, 1993 from the merger of National Bank of Albania and Commercial Bank of Albania.","BKT accomplished its privatization process in the year 2000. On July 6, 2000, The Albanian Parliament approved the sale contract between the Ministry of Finance and the Consortium of International Investors consisting of Kentbank (60% of shares), International Finance Corporation (20%) and European Bank for Reconstruction and Development (20%). Kent Bank is a Croatian bank. In 2006  60% plus 2 of the BKT shares possessed by Kent Bank were sold to Calik-Seker Konsorsiyum Yatirim A.S. (Turkisch)",0,Active,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,DOM,DOM,DOM,DOM,DOM,CROATIA,CROATIA,CROATIA,CROATIA,CROATIA,CROATIA,TURKEY,TURKEY,TURKEY,TURKEY,TURKEY,TURKEY,TURKEY,TURKEY
ECA,DEV,0,ALBANIA,ALB,Banka Societe Generale Albania Sh.A,Banka Popullore Sh.A,Commercial Banks,40931,U1,40931,U1,,Unlisted,PUPP AL TR,2004,,"Established on March 1, 2004.",Acquired by Society Generale in 2007,0,Active,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,DOM,DOM,DOM,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE,FRANCE
ECA,DEV,0,ALBANIA,ALB,Credins Bank Sh.A,Credins Bank Sh.A,Commercial Banks,40932,U1,40932,U1,,Unlisted,CDIS AL TR,2003,,,"On January 12, 2008, CREDINS bank announced the participation of the two new shareholders. These two shareholders are: Balkan Financial Sector Equity Holding B.V. (BFSE Holding B.V), the Netherlands, represented by Development Financial Equity Partners (DFE); and State Secretariat for Economic Affairs (SECO), the other shareholder is represented by Swiss Investment Fund for Emerging Markets (SIFEM AG).",0,Active,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
ECA,DEV,0,ALBANIA,ALB,Credit Agricole Bank (Albania),Emporiki Bank - Albania SA,Commercial Banks,40598,U1,40598,U1,,Unlisted,EMPO AL TR,1998,,,Emporiki Bank - Albania SA was renamed to Credit Agricole Bank (Albania) in 2012.,0,Active,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,GREECE,FRANCE,FRANCE
ECA,DEV,0,ALBANIA,ALB,First Investment Bank Ltd,First Investment Bank Ltd,Commercial Banks,39008,U1,39008,U1,,Unlisted,FINV AL TR,2006,,,,0,Active,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,BULGARIA,BULGARIA,BULGARIA,BULGARIA,BULGARIA,BULGARIA,BULGARIA,BULGARIA
ECA,DEV,0,ALBANIA,ALB,International Commercial Bank-Banka Tregtare Nderkombetare,International Commercial Bank-Banka Tregtare Nderkombetare,Commercial Banks,48654,U1,48654,U1,,Unlisted,ICOA AL TR,1997,,Established in 1997.,,0,Active,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND,SWITZERLAND
ECA,DEV,0,ALBANIA,ALB,Intesa Sanpaolo Bank Albania,Intesa Sanpaolo Bank Albania,Commercial Banks,17264,C1,17264,C1,,Unlisted,UNITED STATESL AL TR,1998,,"Established in 1998. In January 2008, American Bank of Albania absorbed Italian-Albanian Bank. In September 2008, changed its name to Intesa Sanpaolo Bank Albania.",,0,Active,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,UNITED STATES,UNITED STATES,UNITED STATES,UNITED STATES,UNITED STATES,UNITED STATES,UNITED STATES,UNITED STATES,UNITED STATES,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY
ECA,DEV,0,ALBANIA,ALB,Veneto Banka Sh.a..,Italian Development Bank,Commercial Banks,48887,U1,48887,U1,,Unlisted,ITSV AL TR,1993,,"Established in 1993. In November 2006, Dardania Bank changed its name to Italian Development Bank.",Italian Development Bank changed its name to Veneto Banka.,0,Active,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY
ECA,DEV,0,ALBANIA,ALB,Italian-Albanian Bank-Banca Italo Albanese/ Banka Italo Shqiptare,Italian-Albanian Bank-Banca Italo Albanese/ Banka Italo Shqiptare,Commercial Banks,47263,U1,47263,U1,,Unlisted,,1992,2008,"In January 2008, Italian-Albanian Bank was absorbed by Intesa Sanpaolo Bank Albania.",,0,Dissolved,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,ITALY,,,,,,
